Sample_ID	hla_a_11_01_01_01	hla_b_27_05_02_01	hla_c_02_02_02_01	hla_a_34_02_01	hla_b_08_01_01_01	hla_c_07_01_01_01	HLAimbalance
M5A	1	1	1	0	0	0	3
M5B	1	1	1	0	0	0	3
M5C	1	1	1	0	0	0	3
M6A	1	1	1	0	0	0	3
M6B	1	1	1	0	0	0	3
M7	1	1	1	0	0	0	3
M8A	1	1	1	0	0	0	3
M8B	1	1	1	0	0	0	3
M9	1	1	1	0	0	0	3
M10C	1	1	1	0	0	0	3
M10D	1	1	1	0	0	0	3
M10E	1	0	1	0	0	0	2
M11A	1	0	0	0	0	0	1
M11B	1	1	1	0	0	0	3
M12A	1	1	1	0	0	0	3
M12B	0	0	0	0	0	0	0
M15	1	0	0	0	0	0	1
M16	1	0	0	0	0	0	1
M17	1	0	0	0	0	0	1
M18	0	0	0	0	0	0	0
M1	0	0	0	0	0	0	0
