sample	T1.histBeta	p.early	p.inter	p.late	class
M18	0.495	0.485714286	0.471428571	0.042857143	Early
M17	0.585	0.561151079	0.424460432	0.014388489	Early
M10C	0.705	0.410891089	0.544554455	0.044554455	Early
M6B	0.725	0.378109453	0.597014925	0.024875622	Early
M8B	0.745	0.457746479	0.394366197	0.147887324	Early
M6A	0.745	0.415662651	0.572289157	0.012048193	Early
M16	0.775	0.555555556	0.444444444	0	Inter
M9	0.785	0.452941176	0.464705882	0.082352941	Inter
M15	0.795	0.806818182	0.193181818	0	Inter
M5A	0.815	0.411428571	0.422857143	0.165714286	Inter
M12A	0.825	0.388349515	0.417475728	0.194174757	Inter
M8A	0.835	0.694029851	0.164179104	0.141791045	Inter
M7	0.835	0.573170732	0.323170732	0.103658537	Inter
M11A	0.845	0.796875	0.171875	0.03125	Inter
M10E	0.855	0.466292135	0.230337079	0.303370787	Late
M5C	0.855	0.313636364	0.381818182	0.304545455	Late
M11B	0.885	0.638554217	0.361445783	0	Late
M10D	0.885	0.43956044	0.181318681	0.379120879	Late
M5B	0.935	0.558823529	0.235294118	0.205882353	Late
M12B	0.995	0.157894737	0	0.842105263	Late
