Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
M1	0.013222768	0.017999577	0.05175178	0.024165596	0.045865485	0.019887824	0.010997091	0.014163427	0.02215491	0.006877781	0.772913761
M15	0.006950453	0.017239772	0.044924884	0	0.027266249	0.005140455	0	0.0169521	0.014528842	0.005909336	0.86108791
M16	0.004627919	0.012127421	0.023535389	0.003689797	0.021779641	0.003716185	0	0.008029695	0.007188753	0.001124009	0.914181191
M18	0.006701053	0.018325312	0.029774646	0	0.03182826	0.005880891	0.004655658	0.016089664	0.009947055	0.002565647	0.874231816
M5A	0.012619042	0.009136574	0.031690604	0	0.049459821	0.018158155	0	0.011992827	0.017646159	0.011565231	0.837731587
M5B	0.010833631	0.012006003	0.027406179	0	0.039103184	0.014890727	0	0.016092703	0.014621805	0.011197007	0.853848761
M5C	0.010924432	0.006090368	0.015725257	0	0.041532651	0.01533805	0	0.00703725	0.010640851	0.012126135	0.880585006
M6A	0.012397609	0.008750462	0.018128827	0.000504644	0.035755452	0.018775501	0	0.009781866	0.01776322	0.013248026	0.864894394
M6B	0.017876452	0.00717829	0.020668762	0.004886691	0.03661145	0.026832976	0	0.017129889	0.01705445	0.015590896	0.836170142
M7	0.012324852	0.013420607	0.028776178	0	0.033052523	0.01782846	0	0.010055289	0.022039346	0.011423295	0.85107945
M8A	0.015474566	0.008315522	0.026400225	0	0.0457361	0.018874738	0	0.013763359	0.022868244	0.0140386	0.834528646
M8B	0.009677231	0.011022724	0.020700945	0.005589796	0.035362855	0.014648134	0	0.01238219	0.014404219	0.007045574	0.869166333
M9	0.013714093	0.007362984	0.026517212	0.006713647	0.042965635	0.021252325	0	0.016158331	0.013952135	0.011859653	0.839503985
M10C	0.014006535	0.004818811	0.015484374	0.005113816	0.041078133	0.017556898	0	0.011908236	0.015797636	0.013914666	0.860320896
M10D	0.010666236	0.005901253	0.015023347	0	0.042488461	0.01300618	0	0.008275751	0.011332476	0.012984069	0.880322226
M10E	0.011049713	0.007678346	0.024071938	0.004113913	0.039094673	0.013452038	0	0.013835107	0.014642974	0.009473011	0.862588287
M11A	0.009574841	0.004925125	0.019272911	0	0.015582021	0.007973691	0	0.015809013	0.018628611	0.010604724	0.897629063
M11B	0.009108489	0.009466085	0.023879774	0	0.02101579	0.009055413	0	0.021934186	0.021074482	0.007349764	0.877116018
M12A	0.015098996	0.009546188	0.02756779	0	0.040838278	0.023994119	0	0.013100644	0.013468677	0.014045832	0.842339476
