seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	16482476	16468828	*	2	1	0.76
1	16486571	16620067	133497	*	2	1	0.76
1	16621683	19284993	2663311	*	2	1	0.76
1	19306263	24601134	5294872	*	2	0	0.76
1	24964519	31699894	6735376	*	2	2	0.76
1	31728046	40161246	8433201	*	2	1	0.76
1	40222460	54731849	14509390	*	2	2	0.76
1	54731855	61352709	6620855	*	2	1	0.76
1	61404111	92181666	30777556	*	2	0	0.76
1	92326255	121538213	29211959	*	2	2	0.76
1	143498872	144904956	1406085	*	2	0	0.76
1	145404993	145846884	441892	*	2	0	0.76
1	145896096	146757826	861731	*	1	1	0.76
1	146764762	147104551	339790	*	2	0	0.76
1	147104795	148107606	1002812	*	2	0	0.76
1	148108525	150308908	2200384	*	2	0	0.76
1	150311867	152156618	1844752	*	6	0	0.76
1	152213956	152303673	89718	*	6	0	0.76
1	152303901	152308283	4383	*	3	3	0.76
1	152308312	152798057	489746	*	5	0	0.76
1	152798113	153093786	295674	*	3	2	0.76
1	153149834	156742981	3593148	*	7	0	0.76
1	156752069	186078018	29325950	*	6	0	0.76
1	186081285	201208082	15126798	*	5	0	0.76
1	201209660	201211044	1385	*	6	5	0.76
1	201224540	214464976	13240437	*	5	0	0.76
1	214465004	214483397	18394	*	3	1	0.76
1	215086143	227493011	12406869	*	5	0	0.76
1	227493134	227507742	14609	*	2	2	0.76
1	227921231	247329729	19408499	*	4	0	0.76
1	247433937	247434047	111	*	12	3	0.76
1	247444340	247965938	521599	*	4	0	0.76
1	248084006	248650825	566820	*	2	2	0.76
2	224919	7400564	7175646	*	4	0	0.76
2	8726714	10723141	1996428	*	4	1	0.76
2	10782390	12024120	1241731	*	1	0	0.76
2	12723644	27501668	14778025	*	4	1	0.76
2	28526049	62771350	34245302	*	2	1	0.76
2	63174838	73601411	10426574	*	2	0	0.76
2	73602245	91940980	18338736	*	2	2	0.76
2	94196754	111769289	17572536	*	2	2	0.76
2	111792748	112098757	306010	*	5	1	0.76
2	112138790	121528866	9390077	*	2	2	0.76
2	121530453	141005518	19475066	*	1	0	0.76
2	141015828	156571186	15555359	*	2	0	0.76
2	157210570	164492953	7282384	*	4	0	0.76
2	164508377	219641800	55133424	*	2	0	0.76
2	220540376	239134205	18593830	*	3	0	0.76
2	239144721	241767573	2622853	*	2	0	0.76
3	344564	1807944	1463381	*	2	0	0.76
3	3030677	3038825	8149	*	2	0	0.76
3	3040066	8257954	5217889	*	4	0	0.76
3	8372710	10345375	1972666	*	13	0	0.76
3	10355070	14513100	4158031	*	8	0	0.76
3	14513501	27409615	12896115	*	4	0	0.76
3	27421738	75630725	48208988	*	2	0	0.76
3	75630786	75737906	107121	*	1	0	0.76
3	76114074	89449469	13335396	*	2	0	0.76
3	91483720	114307826	22824107	*	2	2	0.76
3	115810513	121854608	6044096	*	3	0	0.76
3	121894358	132719774	10825417	*	3	2	0.76
3	133380401	186640577	53260177	*	3	0	0.76
3	186640979	195937625	9296647	*	2	0	0.76
3	195938106	195996931	58826	*	1	1	0.76
3	195997066	197296574	1299509	*	2	0	0.76
3	197624255	198035752	411498	*	2	0	0.76
4	23060	3890310	3867251	*	3	0	0.76
4	3902456	19889649	15987194	*	4	0	0.76
4	20480838	49118976	28638139	*	2	0	0.76
4	49139685	49657685	518001	*	1	1	0.76
4	51848078	190179609	138331532	*	2	0	0.76
5	163090	10988060	10824971	*	1	0	0.76
5	13691900	44112226	30420327	*	1	1	0.76
5	49601562	49661744	60183	*	0	0	0.76
5	50399214	53083447	2684234	*	2	2	0.76
5	53083580	143820488	90736909	*	2	0	0.76
5	145866522	168406392	22539871	*	3	0	0.76
5	168408385	177307854	8899470	*	2	0	0.76
5	177311537	177397136	85600	*	0	0	0.76
5	177432847	181281775	3848929	*	2	0	0.76
6	152749	367552	214804	*	1	1	0.76
6	391989	1742560	1350572	*	3	0	0.76
6	2765463	5086324	2320862	*	1	0	0.76
6	5143958	37171546	32027589	*	2	1	0.76
6	37174186	57937957	20763772	*	3	2	0.76
6	62286015	67889277	5603263	*	2	0	0.76
6	68956303	79518818	10562516	*	2	1	0.76
6	79870220	81338189	1467970	*	2	0	0.76
6	81752157	87284854	5532698	*	2	1	0.76
6	87341334	100662544	13321211	*	2	0	0.76
6	100800297	107070009	6269713	*	8	2	0.76
6	107705113	119180453	11475341	*	2	0	0.76
6	119188620	127475181	8286562	*	4	0	0.76
6	129158243	130215860	1057618	*	2	0	0.76
6	130440659	144827554	14386896	*	2	1	0.76
6	145671219	150064750	4393532	*	2	0	0.76
6	150248604	152202008	1953405	*	4	0	0.76
6	152231240	159710888	7479649	*	2	0	0.76
6	159711231	159712208	978	*	5	3	0.76
6	159712236	170640200	10927965	*	2	0	0.76
7	258359	5923657	5665299	*	4	0	0.76
7	5923704	5973418	49715	*	6	1	0.76
7	5987311	6737738	750428	*	6	0	0.76
7	6758969	33349217	26590249	*	2	0	0.76
7	33970334	43645204	9674871	*	2	2	0.76
7	43645551	44823042	1177492	*	3	1	0.76
7	44966196	55732178	10765983	*	2	1	0.76
7	55741020	57820256	2079237	*	1	1	0.76
7	60992954	63771649	2778696	*	1	0	0.76
7	63771809	84110714	20338906	*	2	0	0.76
7	85072836	100951519	15878684	*	3	2	0.76
7	100951567	100951722	156	*	13	4	0.76
7	100951774	100963420	11647	*	5	3	0.76
7	100963479	110963371	9999893	*	3	3	0.76
7	111988970	138771243	26782274	*	2	0	0.76
7	138911255	139962273	1051019	*	4	0	0.76
7	140345179	154053149	13707971	*	3	0	0.76
7	154540300	159034723	4494424	*	2	2	0.76
8	219366	22634616	22415251	*	2	0	0.76
8	22724761	24308907	1584147	*	5	0	0.76
8	24313538	33513564	9200027	*	2	0	0.76
8	33566426	43302033	9735608	*	4	2	0.76
8	46579451	58586126	12006676	*	3	1	0.76
8	58586678	78717220	20130543	*	2	2	0.76
8	79765029	98212306	18447278	*	2	1	0.76
8	98707321	120280566	21573246	*	7	2	0.76
8	120281092	125436633	5155542	*	3	2	0.76
8	126073030	130214773	4141744	*	3	3	0.76
8	130401756	138137267	7735512	*	3	0	0.76
8	138139132	138256809	117678	*	2	0	0.76
8	138591646	144946362	6354717	*	5	0	0.76
9	12667	30689222	30676556	*	5	0	0.76
9	30689447	30690053	607	*	2	2	0.76
9	30799997	38621347	7821351	*	3	0	0.76
9	39067659	39078751	11093	*	1	1	0.76
9	39086698	39632418	545721	*	2	0	0.76
9	39809561	43110553	3300993	*	1	1	0.76
9	62799760	66182633	3382874	*	2	1	0.76
9	66908658	123769476	56860819	*	2	0	0.76
9	123878812	125506624	1627813	*	5	0	0.76
9	125559492	137099959	11540468	*	2	0	0.76
9	137102167	137103590	1424	*	2	1	0.76
9	137113669	138177100	1063432	*	2	0	0.76
10	47876	38645348	38597473	*	2	0	0.76
10	41859954	46398090	4538137	*	3	0	0.76
10	46462341	46775898	313558	*	1	1	0.76
10	46789560	79394237	32604678	*	2	0	0.76
10	79445303	86655001	7209699	*	1	0	0.76
10	86657967	133568088	46910122	*	2	0	0.76
10	133625834	133626863	1030	*	2	1	0.76
11	179321	1010649	831329	*	3	0	0.76
11	1095011	1099146	4136	*	3	1	0.76
11	1099861	2170479	1070619	*	3	0	0.76
11	2385620	7630808	5245189	*	6	0	0.76
11	7630865	9160493	1529629	*	4	0	0.76
11	9178103	10806814	1628712	*	2	0	0.76
11	11327122	17097140	5770019	*	3	2	0.76
11	17317520	50553126	33235607	*	2	0	0.76
11	54592041	61920202	7328162	*	2	1	0.76
11	61967489	66761577	4794089	*	2	0	0.76
11	67044867	72706069	5661203	*	2	1	0.76
11	72779941	78100944	5321004	*	4	2	0.76
11	78112511	78226754	114244	*	3	0	0.76
11	78417751	117207622	38789872	*	4	2	0.76
11	117219829	134986898	17767070	*	2	0	0.76
12	174476	3298042	3123567	*	3	1	0.76
12	3550159	8843370	5293212	*	4	0	0.76
12	9288441	9438216	149776	*	2	1	0.76
12	9680928	13866236	4185309	*	3	0	0.76
12	14424958	19941437	5516480	*	2	2	0.76
12	20552606	27368123	6815518	*	2	0	0.76
12	27368132	31984918	4616787	*	2	2	0.76
12	32216137	34165416	1949280	*	2	0	0.76
12	37418138	49955982	12537845	*	2	0	0.76
12	50351996	50844033	492038	*	1	1	0.76
12	50885146	57012866	6127721	*	2	0	0.76
12	57099944	63688229	6588286	*	4	0	0.76
12	63823233	63823487	255	*	6	2	0.76
12	63989729	76461170	12471442	*	5	0	0.76
12	76822501	105395784	28573284	*	2	0	0.76
12	106067160	112887655	6820496	*	4	0	0.76
12	112887824	119530850	6643027	*	5	0	0.76
12	119539915	124982692	5442778	*	3	0	0.76
12	125103160	132455474	7352315	*	2	0	0.76
12	132605976	133219598	613623	*	3	0	0.76
13	18176081	18212090	36010	*	1	1	0.76
13	18212134	48515087	30302954	*	2	0	0.76
13	48871883	95894687	47022805	*	1	0	0.76
13	96427364	114291460	17864097	*	2	0	0.76
14	18601553	19678869	1077317	*	1	0	0.76
14	19679177	104031206	84352030	*	2	0	0.76
14	104040120	106349358	2309239	*	2	0	0.76
15	19964758	21160248	1195491	*	1	0	0.76
15	21385348	63121920	41736573	*	3	0	0.76
15	63533643	72008031	8474389	*	5	0	0.76
15	72406887	72665193	258307	*	3	2	0.76
15	73178253	74063555	885303	*	4	0	0.76
15	74063690	74075017	11328	*	2	2	0.76
15	74128669	75784916	1656248	*	4	0	0.76
15	75785454	76259791	474338	*	3	0	0.76
15	76259971	76260139	169	*	4	3	0.76
15	76260201	76260359	159	*	4	1	0.76
15	76260449	76261159	711	*	1	1	0.76
15	76261227	91267767	15006541	*	5	0	0.76
15	91281797	92104454	822658	*	4	0	0.76
15	92125880	101705669	9579790	*	5	0	0.76
15	101752636	101759340	6705	*	4	2	0.76
15	101759861	101973481	213621	*	3	2	0.76
16	11641	1228806	1217166	*	2	0	0.76
16	1229536	1241596	12061	*	1	1	0.76
16	1242424	4799470	3557047	*	2	0	0.76
16	4805278	11965181	7159904	*	4	0	0.76
16	12203329	12203531	203	*	8	7	0.76
16	12568471	20862445	8293975	*	2	0	0.76
16	20954951	31568951	10614001	*	2	2	0.76
16	31569209	32165537	596329	*	4	0	0.76
16	32179540	34159124	1979585	*	1	1	0.76
16	34162883	36101275	1938393	*	3	0	0.76
16	46386441	46401496	15056	*	0	0	0.76
16	46671590	48277246	1605657	*	2	2	0.76
16	48356601	69951480	21594880	*	2	0	0.76
16	69962848	70185756	222909	*	1	1	0.76
16	70509180	90224655	19715476	*	2	0	0.76
17	410351	803622	393272	*	4	0	0.76
17	803934	864156	60223	*	2	2	0.76
17	910550	2980294	2069745	*	5	0	0.76
17	3062561	3063014	454	*	9	3	0.76
17	3116496	6088024	2971529	*	3	0	0.76
17	6426526	15605038	9178513	*	5	0	0.76
17	15605133	16732666	1127534	*	4	0	0.76
17	16732736	16893377	160642	*	3	3	0.76
17	16893544	18388466	1494923	*	4	0	0.76
17	18397782	18500895	103114	*	1	1	0.76
17	18514524	19310022	795499	*	4	0	0.76
17	19329720	20503093	1173374	*	2	0	0.76
17	20503841	20550946	47106	*	2	1	0.76
17	20556006	21244091	688086	*	2	0	0.76
17	21291199	21416729	125531	*	2	1	0.76
17	21657571	21664661	7091	*	1	0	0.76
17	21668986	22381954	712969	*	1	0	0.76
17	26603842	47840337	21236496	*	2	0	0.76
17	47945523	62744203	14798681	*	7	0	0.76
17	62747184	76041127	13293944	*	3	0	0.76
17	76043786	80930197	4886412	*	4	0	0.76
17	80930211	80940445	10235	*	6	1	0.76
17	80940745	83135290	2194546	*	4	0	0.76
18	47434	108052	60619	*	3	0	0.76
18	108058	112269	4212	*	1	0	0.76
18	118580	15005737	14887158	*	3	0	0.76
18	21440199	32270333	10830135	*	3	3	0.76
18	32310079	32680443	370365	*	4	1	0.76
18	32772151	37272932	4500782	*	3	3	0.76
18	37485773	80168979	42683207	*	3	0	0.76
19	107456	4511128	4403673	*	3	0	0.76
19	4511269	4511896	628	*	2	2	0.76
19	4511908	8895043	4383136	*	3	0	0.76
19	8895694	8900736	5043	*	6	1	0.76
19	8902164	8902319	156	*	2	1	0.76
19	8903780	9763271	859492	*	3	0	0.76
19	9811547	24163431	14351885	*	2	0	0.76
19	29212777	36152394	6939618	*	2	1	0.76
19	36183403	45346432	9163030	*	2	1	0.76
19	45346493	52414373	7067881	*	2	2	0.76
19	52414470	53795721	1381252	*	2	2	0.76
19	53795760	55265775	1470016	*	3	1	0.76
19	55279090	58599150	3320061	*	2	0	0.76
20	96321	1312892	1216572	*	1	0	0.76
20	1370028	26083027	24713000	*	1	1	0.76
20	28565158	30855612	2290455	*	2	1	0.76
20	30855703	32326903	1471201	*	2	2	0.76
20	32327658	51725746	19398089	*	2	1	0.76
20	53044717	61218330	8173614	*	5	1	0.76
20	61333293	64093085	2759793	*	3	1	0.76
21	6927584	13051993	6124410	*	2	0	0.76
21	13384473	13909636	525164	*	2	1	0.76
21	13909679	29458073	15548395	*	2	0	0.76
21	29597581	41919045	12321465	*	2	1	0.76
21	41921937	46683356	4761420	*	1	1	0.76
22	10685693	12616347	1930655	*	1	0	0.76
22	15528913	17209519	1680607	*	0	0	0.76
22	17477717	20352100	2874384	*	2	0	0.76
22	20354682	20361928	7247	*	1	1	0.76
22	20364476	21070125	705650	*	2	0	0.76
