seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	943429	929781	*	2	2	0.76
1	946247	16536007	15589761	*	2	2	0.76
1	16536412	16586921	50510	*	2	2	0.76
1	16587665	16859288	271624	*	2	1	0.76
1	16868650	19284993	2416344	*	2	2	0.76
1	19306263	24601134	5294872	*	2	0	0.76
1	24964519	31728046	6763528	*	2	2	0.76
1	31790485	40222460	8431976	*	2	1	0.76
1	40239161	54731849	14492689	*	2	2	0.76
1	54731855	61352709	6620855	*	2	1	0.76
1	61404111	92326255	30922145	*	2	0	0.76
1	92386947	112619839	20232893	*	2	2	0.76
1	112693855	113900507	1206653	*	2	2	0.76
1	113966379	121538213	7571835	*	2	1	0.76
1	143217319	145947812	2730494	*	2	0	0.76
1	146069376	146961953	892578	*	2	1	0.76
1	146963201	147104806	141606	*	2	0	0.76
1	147115088	147171916	56829	*	1	0	0.76
1	147171976	147203438	31463	*	2	0	0.76
1	147204569	147242777	38209	*	6	1	0.76
1	147242938	147992555	749618	*	2	0	0.76
1	148091755	148334750	242996	*	2	0	0.76
1	148458831	150308908	1850078	*	2	0	0.76
1	150311867	152156618	1844752	*	6	0	0.76
1	152213956	152303673	89718	*	5	0	0.76
1	152303901	152308424	4524	*	7	4	0.76
1	152308531	152310476	1946	*	7	0	0.76
1	152310807	152353256	42450	*	6	1	0.76
1	152354993	152805432	450440	*	7	0	0.76
1	152910476	153150144	239669	*	3	3	0.76
1	153205240	156742981	3537742	*	8	0	0.76
1	156752069	201208082	44456014	*	6	0	0.76
1	201209660	201211044	1385	*	9	8	0.76
1	201224540	207095434	5870895	*	5	0	0.76
1	207095515	207552694	457180	*	11	1	0.76
1	207575448	207899281	323834	*	10	0	0.76
1	208092665	214465004	6372340	*	4	0	0.76
1	214482911	214483419	509	*	7	4	0.76
1	214632839	225290167	10657329	*	4	0	0.76
1	225307466	227493011	2185546	*	3	0	0.76
1	227493134	227507742	14609	*	3	2	0.76
1	227921231	235194228	7272998	*	4	0	0.76
1	235219873	240920002	5700130	*	3	0	0.76
1	241503933	247329729	5825797	*	4	0	0.76
1	247433937	247434047	111	*	15	3	0.76
1	247443750	247965938	522189	*	3	0	0.76
1	248084006	248650825	566820	*	2	2	0.76
2	224919	8727065	8502147	*	5	1	0.76
2	8731212	10775216	2044005	*	6	2	0.76
2	10782390	12024120	1241731	*	2	0	0.76
2	12723644	28244711	15521068	*	4	2	0.76
2	28526049	37149148	8623100	*	2	2	0.76
2	37368553	46380580	9012028	*	2	1	0.76
2	46384332	62771350	16387019	*	2	2	0.76
2	63174838	73601411	10426574	*	2	0	0.76
2	73602245	89213290	15611046	*	2	2	0.76
2	89537750	91940980	2403231	*	2	2	0.76
2	94196754	95954090	1757337	*	2	2	0.76
2	96014195	97152611	1138417	*	2	2	0.76
2	97164261	97167846	3586	*	6	1	0.76
2	97167914	111769289	14601376	*	2	2	0.76
2	111771259	112113067	341809	*	9	2	0.76
2	112138790	121458843	9320054	*	2	2	0.76
2	121515611	132037865	10522255	*	2	0	0.76
2	132037887	132337199	299313	*	1	1	0.76
2	132731828	157210570	24478743	*	2	0	0.76
2	157556187	163611904	6055718	*	4	0	0.76
