seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	3872798	3859150	*	2	1	0.84
1	4712657	16491182	11778526	*	2	2	0.84
1	16535646	16586921	51276	*	4	2	0.84
1	16587665	16868892	281228	*	3	2	0.84
1	16868896	19284993	2416098	*	2	2	0.84
1	19306263	24601134	5294872	*	2	0	0.84
1	24964519	31699894	6735376	*	2	2	0.84
1	31728046	40222460	8494415	*	2	1	0.84
1	40239161	42153706	1914546	*	2	1	0.84
1	42191123	43590791	1399669	*	3	2	0.84
1	43591586	54731849	11140264	*	2	2	0.84
1	54731855	61352709	6620855	*	2	1	0.84
1	61404111	92181666	30777556	*	2	0	0.84
1	92326255	112619839	20293585	*	2	2	0.84
1	112693855	113901588	1207734	*	2	2	0.84
1	113966379	121538213	7571835	*	2	2	0.84
1	143498872	145405011	1906140	*	2	0	0.84
1	145518602	145947812	429211	*	2	0	0.84
1	146069376	146898936	829561	*	1	1	0.84
1	146961953	147104806	142854	*	2	0	0.84
1	147115088	147172001	56914	*	1	0	0.84
1	147178198	150286426	3108229	*	2	0	0.84
1	150303096	152156618	1853523	*	7	0	0.84
1	152213956	152303673	89718	*	6	0	0.84
1	152303901	152308424	4524	*	7	4	0.84
1	152308531	152310441	1911	*	8	0	0.84
1	152310476	152350656	40181	*	6	1	0.84
1	152353256	152798057	444802	*	7	0	0.84
1	152798113	153093786	295674	*	3	2	0.84
1	153149695	192247688	39097994	*	6	0	0.84
1	192352181	201208082	8855902	*	4	0	0.84
1	201209660	201211044	1385	*	7	6	0.84
1	201224540	207124335	5899796	*	5	0	0.84
1	207127036	207584591	457556	*	6	0	0.84
1	207584887	209608998	2024112	*	7	0	0.84
1	209625986	214465004	4839019	*	5	0	0.84
1	214482911	214834503	351593	*	3	1	0.84
1	215083545	227493011	12409467	*	4	0	0.84
1	227493134	227507742	14609	*	4	3	0.84
1	227921231	246988255	19067025	*	4	0	0.84
1	247028997	247965938	936942	*	4	0	0.84
1	248084006	248650825	566820	*	2	2	0.84
2	224919	7400564	7175646	*	4	1	0.84
2	8726714	10775216	2048503	*	5	2	0.84
2	10782390	12024120	1241731	*	2	0	0.84
2	12723644	28013557	15289914	*	4	2	0.84
2	28526049	37149148	8623100	*	2	2	0.84
2	37368553	46380580	9012028	*	2	1	0.84
2	46382818	62771350	16388533	*	2	2	0.84
2	63174838	73601411	10426574	*	2	0	0.84
2	73602245	89610875	16008631	*	2	2	0.84
2	89611666	91940980	2329315	*	2	2	0.84
2	94196754	110161744	15964991	*	2	2	0.84
2	110163257	112113067	1949811	*	3	1	0.84
2	112138790	121224435	9085646	*	2	2	0.84
2	121224700	121458843	234144	*	3	3	0.84
2	121515611	156571186	35055576	*	2	0	0.84
2	157210570	164492953	7282384	*	3	0	0.84
2	164508377	220540377	56032001	*	2	0	0.84
2	221426182	231586051	10159870	*	4	0	0.84
2	231737463	232386656	649194	*	1	1	0.84
2	232386824	238353225	5966402	*	3	0	0.84
2	239081075	241767573	2686499	*	2	0	0.84
3	344564	4983086	4638523	*	2	0	0.84
3	7146319	10844102	3697784	*	7	0	0.84
3	10844235	14513100	3668866	*	5	0	0.84
3	14513501	23918549	9405049	*	3	0	0.84
3	23956056	75599416	51643361	*	2	0	0.84
3	75630725	75739422	108698	*	3	1	0.84
3	76114074	89449469	13335396	*	2	0	0.84
3	91483720	114307826	22824107	*	2	2	0.84
3	115810513	121854608	6044096	*	2	0	0.84
3	121894358	128909880	7015523	*	2	1	0.84
3	129260165	132718123	3457959	*	2	2	0.84
3	133380401	195895111	62514711	*	2	0	0.84
3	195937485	195976946	39462	*	4	1	0.84
3	195977149	195996931	19783	*	1	1	0.84
3	195997066	197296574	1299509	*	2	0	0.84
