seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	188118	174470	*	3	2	0.8
1	264627	12861531	12596905	*	2	2	0.8
1	12893135	13371308	478174	*	2	2	0.8
1	13389694	16535663	3145970	*	2	2	0.8
1	16535691	16859288	323598	*	2	1	0.8
1	16868650	19284993	2416344	*	2	2	0.8
1	19306263	24927286	5621024	*	2	0	0.8
1	24964519	31790485	6825967	*	2	2	0.8
1	31796757	40161246	8364490	*	2	1	0.8
1	40239161	54731855	14492695	*	2	2	0.8
1	54733814	61352709	6618896	*	2	1	0.8
1	61404111	92326255	30922145	*	2	0	0.8
1	92386947	121538213	29151267	*	2	2	0.8
1	143498872	145846884	2348013	*	2	0	0.8
1	145896096	146757826	861731	*	1	1	0.8
1	146764762	146994583	229822	*	2	0	0.8
1	147019498	147161480	141983	*	3	0	0.8
1	147162354	147208832	46479	*	2	0	0.8
1	147212305	147295672	83368	*	2	0	0.8
1	148091755	148593618	501864	*	2	0	0.8
1	148595703	150286426	1690724	*	2	0	0.8
1	150308767	151034063	725297	*	5	0	0.8
1	151043920	152156618	1112699	*	7	0	0.8
1	152213956	152303673	89718	*	5	0	0.8
1	152303901	152308424	4524	*	3	3	0.8
1	152308531	152798057	489527	*	6	0	0.8
1	152798113	153093786	295674	*	4	3	0.8
1	153149695	156768177	3618483	*	8	0	0.8
1	156782198	186078018	29295821	*	6	0	0.8
1	186081285	201208082	15126798	*	5	0	0.8
1	201209660	201211044	1385	*	11	9	0.8
1	201224540	207505884	6281345	*	5	0	0.8
1	207552655	207609586	56932	*	6	0	0.8
1	207616743	209608998	1992256	*	7	0	0.8
1	209625986	214391099	4765114	*	5	0	0.8
1	214464539	214483397	18859	*	5	0	0.8
1	214834503	227493011	12658509	*	5	0	0.8
1	227493134	227507742	14609	*	3	2	0.8
1	227921231	247965938	20044708	*	4	0	0.8
1	248084006	248650825	566820	*	2	2	0.8
2	224919	7400564	7175646	*	4	1	0.8
2	8731212	10723141	1991930	*	5	2	0.8
