seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	5877108	5863460	*	2	1	0.8
1	5877319	16410243	10532925	*	2	2	0.8
1	16478250	16859288	381039	*	2	1	0.8
1	16868650	19284993	2416344	*	2	2	0.8
1	19306263	24601134	5294872	*	2	0	0.8
1	24964519	31699894	6735376	*	2	2	0.8
1	31728046	40161246	8433201	*	2	1	0.8
1	40222460	54731855	14509396	*	2	2	0.8
1	54733814	61352709	6618896	*	2	1	0.8
1	61404111	92181666	30777556	*	2	0	0.8
1	92326255	119896486	27570232	*	2	2	0.8
1	120157284	121538213	1380930	*	2	2	0.8
1	150986360	152156618	1170259	*	7	0	0.8
1	152213956	152303673	89718	*	5	0	0.8
1	152303901	152308283	4383	*	2	2	0.8
1	152308312	152309835	1524	*	5	0	0.8
1	152310318	152312121	1804	*	5	1	0.8
1	152312705	152805432	492728	*	7	0	0.8
1	152910476	153225142	314667	*	5	0	0.8
1	153225262	156905315	3680054	*	7	0	0.8
1	156906143	159862635	2956493	*	6	0	0.8
1	159872298	186086239	26213942	*	6	0	0.8
1	186088049	201208082	15120034	*	5	0	0.8
1	201209660	201211044	1385	*	8	7	0.8
1	201224540	214465004	13240465	*	5	0	0.8
1	214482911	215083545	600635	*	4	1	0.8
1	215086143	227493011	12406869	*	5	0	0.8
1	227493134	227507742	14609	*	2	2	0.8
1	227921231	247329729	19408499	*	4	0	0.8
1	247433979	247434047	69	*	13	3	0.8
1	247444340	247965938	521599	*	3	0	0.8
1	248084006	248559421	475416	*	3	0	0.8
1	248559476	248650825	91350	*	3	0	0.8
2	224919	7024681	6799763	*	4	1	0.8
2	7067929	10667622	3599694	*	5	2	0.8
2	10723141	12024120	1300980	*	2	0	0.8
2	12723644	27501668	14778025	*	4	2	0.8
2	28526049	62771350	34245302	*	2	2	0.8
2	63174838	73601411	10426574	*	2	0	0.8
2	73602245	91940980	18338736	*	2	2	0.8
2	94196754	111808940	17612187	*	2	2	0.8
2	111821217	112013221	192005	*	5	2	0.8
2	112022157	121458843	9436687	*	2	2	0.8
2	121515611	154854845	33339235	*	2	0	0.8
2	156569306	162352383	5783078	*	4	0	0.8
2	163611904	219641800	56029897	*	2	0	0.8
2	220540376	231925781	11385406	*	4	0	0.8
2	232379271	232409459	30189	*	1	1	0.8
2	232418137	238344536	5926400	*	3	0	0.8
2	238353225	241767573	3414349	*	2	0	0.8
3	344564	4983086	4638523	*	2	0	0.8
3	7146319	10355304	3208986	*	8	0	0.8
3	10358547	14772648	4414102	*	5	0	0.8
3	14897691	20111902	5214212	*	3	0	0.8
3	20114810	75599416	55484607	*	2	0	0.8
3	75630725	75737906	107182	*	3	1	0.8
3	76114074	89449469	13335396	*	2	0	0.8
3	91483720	121992916	30509197	*	3	0	0.8
3	121993204	128638009	6644806	*	2	1	0.8
3	128644489	132719774	4075286	*	2	2	0.8
3	133380401	195976067	62595667	*	2	0	0.8
3	195976946	195996931	19986	*	1	1	0.8
3	195997066	197293847	1296782	*	2	0	0.8
3	197296574	198035752	739179	*	1	1	0.8
4	16758	7638179	7621422	*	3	0	0.8
4	7654128	20489087	12834960	*	3	0	0.8
4	20542561	48892964	28350404	*	2	0	0.8
4	49104455	49709464	605010	*	1	1	0.8
4	51848345	188738454	136890110	*	2	0	0.8
4	188738623	190179609	1440987	*	1	1	0.8
5	163090	10988060	10824971	*	1	0	0.8
5	13691900	32738785	19046886	*	1	1	0.8
5	33441297	33751349	310053	*	1	0	0.8
5	33963765	44114035	10150271	*	1	1	0.8
5	49601562	49661793	60232	*	1	0	0.8
5	50399214	53083447	2684234	*	2	2	0.8
5	53560674	69633887	16073214	*	2	0	0.8
5	69634718	71719676	2084959	*	1	1	0.8
5	72107446	146592933	74485488	*	2	0	0.8
5	147054497	168408761	21354265	*	3	0	0.8
